length scale factor
3.1165000E-02
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
6.2761909E-01 3.1133835E-02 3.6920208E+00 6.2761909E-01
total extinction, absorption, scattering efficiencies (unpolarized incidence)
4.7164000E-02 6.5522000E-03 4.0612000E-02
theta     11          12          22          33          34          44
34.500000 8.0241000E-01 -1.9035000E-01 9.9986000E-01 9.8157000E-01 5.8529000E-04 9.8145000E-01
35.000000 7.8823000E-01 -1.9616000E-01 9.9986000E-01 9.8043000E-01 6.0571000E-04 9.8030000E-01
35.500000 7.7415000E-01 -2.0206000E-01 9.9986000E-01 9.7922000E-01 6.2661000E-04 9.7909000E-01
36.000000 7.6017000E-01 -2.0806000E-01 9.9985000E-01 9.7796000E-01 6.4801000E-04 9.7783000E-01
36.500000 7.4630000E-01 -2.1415000E-01 9.9985000E-01 9.7665000E-01 6.6990000E-04 9.7651000E-01
37.000000 7.3254000E-01 -2.2034000E-01 9.9985000E-01 9.7527000E-01 6.9230000E-04 9.7513000E-01
37.500000 7.1889000E-01 -2.2662000E-01 9.9985000E-01 9.7382000E-01 7.1521000E-04 9.7369000E-01
38.000000 7.0537000E-01 -2.3300000E-01 9.9984000E-01 9.7231000E-01 7.3864000E-04 9.7218000E-01
38.500000 6.9198000E-01 -2.3947000E-01 9.9984000E-01 9.7074000E-01 7.6261000E-04 9.7060000E-01
39.000000 6.7872000E-01 -2.4604000E-01 9.9984000E-01 9.6909000E-01 7.8711000E-04 9.6895000E-01
39.500000 6.6560000E-01 -2.5271000E-01 9.9984000E-01 9.6737000E-01 8.1215000E-04 9.6723000E-01
40.000000 6.5261000E-01 -2.5947000E-01 9.9983000E-01 9.6558000E-01 8.3774000E-04 9.6543000E-01
40.500000 6.3977000E-01 -2.6632000E-01 9.9983000E-01 9.6371000E-01 8.6389000E-04 9.6356000E-01
41.000000 6.2708000E-01 -2.7327000E-01 9.9983000E-01 9.6176000E-01 8.9060000E-04 9.6161000E-01
41.500000 6.1454000E-01 -2.8031000E-01 9.9983000E-01 9.5972000E-01 9.1788000E-04 9.5958000E-01
42.000000 6.0216000E-01 -2.8745000E-01 9.9982000E-01 9.5761000E-01 9.4574000E-04 9.5746000E-01
42.500000 5.8993000E-01 -2.9468000E-01 9.9982000E-01 9.5540000E-01 9.7419000E-04 9.5525000E-01
43.000000 5.7786000E-01 -3.0201000E-01 9.9982000E-01 9.5311000E-01 1.0032000E-03 9.5296000E-01
43.500000 5.6596000E-01 -3.0942000E-01 9.9981000E-01 9.5072000E-01 1.0328000E-03 9.5057000E-01
44.000000 5.5422000E-01 -3.1693000E-01 9.9981000E-01 9.4824000E-01 1.0631000E-03 9.4809000E-01
44.500000 5.4265000E-01 -3.2454000E-01 9.9981000E-01 9.4567000E-01 1.0939000E-03 9.4550000E-01
45.000000 5.3125000E-01 -3.3223000E-01 9.9980000E-01 9.4299000E-01 1.1254000E-03 9.4282000E-01
45.500000 5.2001000E-01 -3.4001000E-01 9.9980000E-01 9.4020000E-01 1.1574000E-03 9.4004000E-01
46.000000 5.0896000E-01 -3.4789000E-01 9.9980000E-01 9.3732000E-01 1.1901000E-03 9.3715000E-01
46.500000 4.9807000E-01 -3.5585000E-01 9.9979000E-01 9.3432000E-01 1.2234000E-03 9.3415000E-01
47.000000 4.8736000E-01 -3.6390000E-01 9.9979000E-01 9.3121000E-01 1.2573000E-03 9.3104000E-01
47.500000 4.7682000E-01 -3.7203000E-01 9.9979000E-01 9.2798000E-01 1.2919000E-03 9.2781000E-01
