 0.8005704E-08   single scattering albedo
 0.7898630E-15   scattering cross section
 0.9866254E-07   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
  14.000     0.3237120386E-21    -0.1821448276E-23     0.0000000000E+00     0.0000000000E+00    -0.1821448276E-23     0.3237120386E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3237069141E-21    -0.2749784226E-26     0.0000000000E+00     0.0000000000E+00     0.2749784226E-26     0.3237069141E-21
  14.500     0.3215433148E-21    -0.1946631035E-23     0.0000000000E+00     0.0000000000E+00    -0.1946631035E-23     0.3215433148E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3215374078E-21    -0.2937212647E-26     0.0000000000E+00     0.0000000000E+00     0.2937212647E-26     0.3215374078E-21
  15.000     0.3193112045E-21    -0.2075133321E-23     0.0000000000E+00     0.0000000000E+00    -0.2075133321E-23     0.3193112045E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3193044644E-21    -0.3129472841E-26     0.0000000000E+00     0.0000000000E+00     0.3129472841E-26     0.3193044644E-21
  15.500     0.3170169698E-21    -0.2206992999E-23     0.0000000000E+00     0.0000000000E+00    -0.2206992999E-23     0.3170169698E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3170092705E-21    -0.3326379918E-26     0.0000000000E+00     0.0000000000E+00     0.3326379918E-26     0.3170092705E-21
  16.000     0.3146618729E-21    -0.2342020743E-23     0.0000000000E+00     0.0000000000E+00    -0.2342020743E-23     0.3146618729E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3146531386E-21    -0.3527773642E-26     0.0000000000E+00     0.0000000000E+00     0.3527773642E-26     0.3146531386E-21
  16.500     0.3122472517E-21    -0.2480052468E-23     0.0000000000E+00     0.0000000000E+00    -0.2480052468E-23     0.3122472517E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3122373814E-21    -0.3733469123E-26     0.0000000000E+00     0.0000000000E+00     0.3733469123E-26     0.3122373814E-21
  17.000     0.3097743936E-21    -0.2621075555E-23     0.0000000000E+00     0.0000000000E+00    -0.2621075555E-23     0.3097743936E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3097632865E-21    -0.3943269146E-26     0.0000000000E+00     0.0000000000E+00     0.3943269146E-26     0.3097632865E-21
  17.500     0.3072445861E-21    -0.2764938540E-23     0.0000000000E+00     0.0000000000E+00    -0.2764938540E-23     0.3072445861E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3072321410E-21    -0.4157013474E-26     0.0000000000E+00     0.0000000000E+00     0.4157013474E-26     0.3072321410E-21
  18.000     0.3046595457E-21    -0.2911565694E-23     0.0000000000E+00     0.0000000000E+00    -0.2911565694E-23     0.3046595457E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3046456365E-21    -0.4374480238E-26     0.0000000000E+00     0.0000000000E+00     0.4374480238E-26     0.3046456365E-21
  18.500     0.3020203579E-21    -0.3060755069E-23     0.0000000000E+00     0.0000000000E+00    -0.3060755069E-23     0.3020203579E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3020048584E-21    -0.4595496877E-26     0.0000000000E+00     0.0000000000E+00     0.4595496877E-26     0.3020048584E-21
  19.000     0.2993286131E-21    -0.3212506663E-23     0.0000000000E+00     0.0000000000E+00    -0.3212506663E-23     0.2993286131E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2993113465E-21    -0.4819841523E-26     0.0000000000E+00     0.0000000000E+00     0.4819841523E-26     0.2993113465E-21
  19.500     0.2965858510E-21    -0.3366593286E-23     0.0000000000E+00     0.0000000000E+00    -0.3366593286E-23     0.2965858510E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2965667164E-21    -0.5047310798E-26     0.0000000000E+00     0.0000000000E+00     0.5047310798E-26     0.2965667164E-21
  20.000     0.2937934601E-21    -0.3522977072E-23     0.0000000000E+00     0.0000000000E+00    -0.3522977072E-23     0.2937934601E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2937723060E-21    -0.5277707486E-26     0.0000000000E+00     0.0000000000E+00     0.5277707486E-26     0.2937723060E-21
  20.500     0.2909530055E-21    -0.3681493938E-23     0.0000000000E+00     0.0000000000E+00    -0.3681493938E-23     0.2909530055E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2909296804E-21    -0.5510803558E-26     0.0000000000E+00     0.0000000000E+00     0.5510803558E-26     0.2909296804E-21
  21.000     0.2880659008E-21    -0.3841992422E-23     0.0000000000E+00     0.0000000000E+00    -0.3841992422E-23     0.2880659008E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2880402533E-21    -0.5746407960E-26     0.0000000000E+00     0.0000000000E+00     0.5746407960E-26     0.2880402533E-21
  21.500     0.2851339888E-21    -0.4004409416E-23     0.0000000000E+00     0.0000000000E+00    -0.4004409416E-23     0.2851339888E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2851058422E-21    -0.5984274175E-26     0.0000000000E+00     0.0000000000E+00     0.5984274175E-26     0.2851058422E-21
  22.000     0.2821585064E-21    -0.4168580837E-23     0.0000000000E+00     0.0000000000E+00    -0.4168580837E-23     0.2821585064E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2821276588E-21    -0.6224217313E-26     0.0000000000E+00     0.0000000000E+00     0.6224217313E-26     0.2821276588E-21
  22.500     0.2791412460E-21    -0.4334380467E-23     0.0000000000E+00     0.0000000000E+00    -0.4334380467E-23     0.2791412460E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2791075711E-21    -0.6466003180E-26     0.0000000000E+00     0.0000000000E+00     0.6466003180E-26     0.2791075711E-21
  23.000     0.2760838988E-21    -0.4501631600E-23     0.0000000000E+00     0.0000000000E+00    -0.4501631600E-23     0.2760838988E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2760471694E-21    -0.6709397584E-26     0.0000000000E+00     0.0000000000E+00     0.6709397584E-26     0.2760471694E-21
  23.500     0.2729878785E-21    -0.4670308994E-23     0.0000000000E+00     0.0000000000E+00    -0.4670308994E-23     0.2729878785E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2729478927E-21    -0.6954166332E-26     0.0000000000E+00     0.0000000000E+00     0.6954166332E-26     0.2729478927E-21
  24.000     0.2698549521E-21    -0.4840160214E-23     0.0000000000E+00     0.0000000000E+00    -0.4840160214E-23     0.2698549521E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2698115079E-21    -0.7200118371E-26     0.0000000000E+00     0.0000000000E+00     0.7200118371E-26     0.2698115079E-21
  24.500     0.2666867857E-21    -0.5011109527E-23     0.0000000000E+00     0.0000000000E+00    -0.5011109527E-23     0.2666867857E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2666396560E-21    -0.7446964042E-26     0.0000000000E+00     0.0000000000E+00     0.7446964042E-26     0.2666396560E-21
  25.000     0.2634848940E-21    -0.5183068583E-23     0.0000000000E+00     0.0000000000E+00    -0.5183068583E-23     0.2634848940E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2634338515E-21    -0.7694506129E-26     0.0000000000E+00     0.0000000000E+00     0.7694506129E-26     0.2634338515E-21
  25.500     0.2602510944E-21    -0.5355810188E-23     0.0000000000E+00     0.0000000000E+00    -0.5355810188E-23     0.2602510944E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2601959625E-21    -0.7942510439E-26     0.0000000000E+00     0.0000000000E+00     0.7942510439E-26     0.2601959625E-21
  26.000     0.2569870530E-21    -0.5529208126E-23     0.0000000000E+00     0.0000000000E+00    -0.5529208126E-23     0.2569870530E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2569275540E-21    -0.8190742779E-26     0.0000000000E+00     0.0000000000E+00     0.8190742779E-26     0.2569275540E-21
