 0.5612719E-01   single scattering albedo
 0.2966419E+00   scattering cross section
 0.5285173E+01   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
  14.500     0.1512706831E-06    -0.4880241988E-08     0.0000000000E+00     0.0000000000E+00    -0.4880241988E-08     0.1512706831E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1511919550E-06     0.1821320872E-12     0.0000000000E+00     0.0000000000E+00    -0.1821320872E-12     0.1511919550E-06
  15.000     0.1509342553E-06    -0.5214737087E-08     0.0000000000E+00     0.0000000000E+00    -0.5214737087E-08     0.1509342553E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1508441443E-06     0.1946220962E-12     0.0000000000E+00     0.0000000000E+00    -0.1946220962E-12     0.1508441443E-06
  15.500     0.1505874820E-06    -0.5559499527E-08     0.0000000000E+00     0.0000000000E+00    -0.5559499527E-08     0.1505874820E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1504848228E-06     0.2074451722E-12     0.0000000000E+00     0.0000000000E+00    -0.2074451722E-12     0.1504848228E-06
  16.000     0.1502304912E-06    -0.5914415624E-08     0.0000000000E+00     0.0000000000E+00    -0.5914415624E-08     0.1502304912E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1501140332E-06     0.2207123373E-12     0.0000000000E+00     0.0000000000E+00    -0.2207123373E-12     0.1501140332E-06
  16.500     0.1498634106E-06    -0.6279371689E-08     0.0000000000E+00     0.0000000000E+00    -0.6279371689E-08     0.1498634106E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1497317896E-06     0.2343680805E-12     0.0000000000E+00     0.0000000000E+00    -0.2343680805E-12     0.1497317896E-06
  17.000     0.1494863113E-06    -0.6654254037E-08     0.0000000000E+00     0.0000000000E+00    -0.6654254037E-08     0.1494863113E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1493381205E-06     0.2483013795E-12     0.0000000000E+00     0.0000000000E+00    -0.2483013795E-12     0.1493381205E-06
  17.500     0.1490992929E-06    -0.7038977401E-08     0.0000000000E+00     0.0000000000E+00    -0.7038977401E-08     0.1490992929E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1489330401E-06     0.2626787676E-12     0.0000000000E+00     0.0000000000E+00    -0.2626787676E-12     0.1489330401E-06
  18.000     0.1487025258E-06    -0.7433413884E-08     0.0000000000E+00     0.0000000000E+00    -0.7433413884E-08     0.1487025258E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1485166194E-06     0.2773892227E-12     0.0000000000E+00     0.0000000000E+00    -0.2773892227E-12     0.1485166194E-06
  18.500     0.1482961238E-06    -0.7837435589E-08     0.0000000000E+00     0.0000000000E+00    -0.7837435589E-08     0.1482961238E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1480888869E-06     0.2925992781E-12     0.0000000000E+00     0.0000000000E+00    -0.2925992781E-12     0.1480888869E-06
  19.000     0.1478802005E-06    -0.8250900407E-08     0.0000000000E+00     0.0000000000E+00    -0.8250900407E-08     0.1478802005E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1476498426E-06     0.3078648447E-12     0.0000000000E+00     0.0000000000E+00    -0.3078648447E-12     0.1476498426E-06
  19.500     0.1474548696E-06    -0.8673701757E-08     0.0000000000E+00     0.0000000000E+00    -0.8673701757E-08     0.1474548696E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1471995432E-06     0.3237410340E-12     0.0000000000E+00     0.0000000000E+00    -0.3237410340E-12     0.1471995432E-06
  20.000     0.1470202733E-06    -0.9105740162E-08     0.0000000000E+00     0.0000000000E+00    -0.9105740162E-08     0.1470202733E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1467380173E-06     0.3398947790E-12     0.0000000000E+00     0.0000000000E+00    -0.3398947790E-12     0.1467380173E-06
  20.500     0.1465765251E-06    -0.9546830881E-08     0.0000000000E+00     0.0000000000E+00    -0.9546830881E-08     0.1465765251E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1462652932E-06     0.3564371021E-12     0.0000000000E+00     0.0000000000E+00    -0.3564371021E-12     0.1462652932E-06
  21.000     0.1461237815E-06    -0.9996838912E-08     0.0000000000E+00     0.0000000000E+00    -0.9996838912E-08     0.1461237815E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1457814278E-06     0.3731459586E-12     0.0000000000E+00     0.0000000000E+00    -0.3731459586E-12     0.1457814278E-06
  21.500     0.1456621987E-06    -0.1045568609E-07     0.0000000000E+00     0.0000000000E+00    -0.1045568609E-07     0.1456621987E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1452864637E-06     0.3902989043E-12     0.0000000000E+00     0.0000000000E+00    -0.3902989043E-12     0.1452864637E-06
  22.000     0.1451918763E-06    -0.1092318058E-07     0.0000000000E+00     0.0000000000E+00    -0.1092318058E-07     0.1451918763E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1447804152E-06     0.4078404281E-12     0.0000000000E+00     0.0000000000E+00    -0.4078404281E-12     0.1447804152E-06
  22.500     0.1447129563E-06    -0.1139918027E-07     0.0000000000E+00     0.0000000000E+00    -0.1139918027E-07     0.1447129563E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1442632822E-06     0.4256039965E-12     0.0000000000E+00     0.0000000000E+00    -0.4256039965E-12     0.1442632822E-06
  23.000     0.1442256377E-06    -0.1188355725E-07     0.0000000000E+00     0.0000000000E+00    -0.1188355725E-07     0.1442256377E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1437352211E-06     0.4436451206E-12     0.0000000000E+00     0.0000000000E+00    -0.4436451206E-12     0.1437352211E-06
  23.500     0.1437300057E-06    -0.1237616942E-07     0.0000000000E+00     0.0000000000E+00    -0.1237616942E-07     0.1437300057E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1431961749E-06     0.4620748228E-12     0.0000000000E+00     0.0000000000E+00    -0.4620748228E-12     0.1431961749E-06
  24.000     0.1432262593E-06    -0.1287686047E-07     0.0000000000E+00     0.0000000000E+00    -0.1287686047E-07     0.1432262593E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1426462433E-06     0.4808375920E-12     0.0000000000E+00     0.0000000000E+00    -0.4808375920E-12     0.1426462433E-06
  24.500     0.1427145264E-06    -0.1338543854E-07     0.0000000000E+00     0.0000000000E+00    -0.1338543854E-07     0.1427145264E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1420854261E-06     0.4998224057E-12     0.0000000000E+00     0.0000000000E+00    -0.4998224057E-12     0.1420854261E-06
  25.000     0.1421949491E-06    -0.1390181836E-07     0.0000000000E+00     0.0000000000E+00    -0.1390181836E-07     0.1421949491E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1415137660E-06     0.5190847752E-12     0.0000000000E+00     0.0000000000E+00    -0.5190847752E-12     0.1415137660E-06
  25.500     0.1416677264E-06    -0.1442578679E-07     0.0000000000E+00     0.0000000000E+00    -0.1442578679E-07     0.1416677264E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1409313199E-06     0.5386802115E-12     0.0000000000E+00     0.0000000000E+00    -0.5386802115E-12     0.1409313199E-06
  26.000     0.1411330146E-06    -0.1495720880E-07     0.0000000000E+00     0.0000000000E+00    -0.1495720880E-07     0.1411330146E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1403381873E-06     0.5584976925E-12     0.0000000000E+00     0.0000000000E+00    -0.5584976925E-12     0.1403381873E-06
  26.500     0.1405909131E-06    -0.1549590678E-07     0.0000000000E+00     0.0000000000E+00    -0.1549590678E-07     0.1405909131E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1397343112E-06     0.5786482404E-12     0.0000000000E+00     0.0000000000E+00    -0.5786482404E-12     0.1397343112E-06
