length scale factor
8.9040000E-03
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
1.7931422E-01 8.8950960E-03 6.0556471E-01 1.7931422E-01
total extinction, absorption, scattering efficiencies (unpolarized incidence)
1.9247000E-03 9.3078000E-04 9.9390000E-04
theta     11          12          22          33          34          44
47.500000 2.8787000E-01 -3.7273000E-01 9.9995000E-01 9.2789000E-01 6.5657000E-08 9.2786000E-01
48.000000 2.8600000E-01 -3.8096000E-01 9.9995000E-01 9.2454000E-01 6.6889000E-08 9.2451000E-01
48.500000 2.8413000E-01 -3.8927000E-01 9.9995000E-01 9.2107000E-01 6.8123000E-08 9.2104000E-01
49.000000 2.8227000E-01 -3.9767000E-01 9.9995000E-01 9.1748000E-01 6.9359000E-08 9.1744000E-01
49.500000 2.8041000E-01 -4.0615000E-01 9.9995000E-01 9.1375000E-01 7.0597000E-08 9.1372000E-01
50.000000 2.7856000E-01 -4.1471000E-01 9.9995000E-01 9.0990000E-01 7.1836000E-08 9.0987000E-01
50.500000 2.7672000E-01 -4.2334000E-01 9.9995000E-01 9.0592000E-01 7.3074000E-08 9.0588000E-01
51.000000 2.7488000E-01 -4.3206000E-01 9.9995000E-01 9.0179000E-01 7.4313000E-08 9.0176000E-01
51.500000 2.7305000E-01 -4.4084000E-01 9.9995000E-01 8.9753000E-01 7.5550000E-08 8.9750000E-01
52.000000 2.7122000E-01 -4.4970000E-01 9.9995000E-01 8.9312000E-01 7.6786000E-08 8.9309000E-01
52.500000 2.6941000E-01 -4.5864000E-01 9.9995000E-01 8.8857000E-01 7.8019000E-08 8.8854000E-01
53.000000 2.6760000E-01 -4.6764000E-01 9.9995000E-01 8.8386000E-01 7.9249000E-08 8.8383000E-01
53.500000 2.6580000E-01 -4.7670000E-01 9.9995000E-01 8.7901000E-01 8.0475000E-08 8.7898000E-01
54.000000 2.6402000E-01 -4.8583000E-01 9.9995000E-01 8.7399000E-01 8.1696000E-08 8.7396000E-01
54.500000 2.6224000E-01 -4.9502000E-01 9.9995000E-01 8.6882000E-01 8.2913000E-08 8.6879000E-01
55.000000 2.6047000E-01 -5.0427000E-01 9.9995000E-01 8.6349000E-01 8.4123000E-08 8.6346000E-01
55.500000 2.5872000E-01 -5.1358000E-01 9.9995000E-01 8.5798000E-01 8.5326000E-08 8.5795000E-01
56.000000 2.5697000E-01 -5.2293000E-01 9.9995000E-01 8.5231000E-01 8.6522000E-08 8.5228000E-01
56.500000 2.5524000E-01 -5.3234000E-01 9.9995000E-01 8.4647000E-01 8.7709000E-08 8.4644000E-01
